source	interaction	target
PIK3R2	PPI>	FYN
RAF1	PPI>	IL2RB
ERBB2	PPI>	SRC
PIK3R1	PPI>	ERBB2
MST1R	PPI>	GRB2
KHDRBS1	PPI>	STUB1
IGF1R	PPI>	JAK2
GHR	PPI>	PTPN11
RAF1	PPI>	JAK1
AXL	PPI>	SHC1
SRC	PPI>	ESR1
SRC	PPI>	PTK2
SOCS1	PPI>	FYN
LCK	PPI>	STAT1
PTPN6	PPI>	PTPN11
CRK	PPI>	FLT1
PTPN6	PPI>	ABL1
SOS1	PPI>	SHC1
SYK	PPI>	TNFRSF1A
MAPK1	PPI>	ESR1
CSF2RA	PPI>	CSF2RB
MAPK1	PPI>	HSP90AA1
MTOR	PPI>	PDPK1
MAPK3	PPI>	DUSP3
SRC	PPI>	PTPN11
TYK2	PPI>	IFNAR2
SYK	PPI>	MAPK3
CRKL	PPI>	BCAR1
BRAF	PPI>	AKT1
ESR1	PPI>	SRC
RB1	PPI>	MAPK1
EPOR	PPI>	GRB2
CDH2	PPI>	PTPN1
IGF1R	PPI>	PTPN1
BRAF	PPI>	RAF1
PIK3R2	PPI>	TGFBR1
PIK3CA	PPI>	APLP2
BCAR1	PPI>	FYN
CBL	PPI>	FYN
FES	PPI>	CSF2RB
HCK	PPI>	CSF2RB
LCK	PPI>	PTPN6
STAT3	PPI>	MAPK1
STAT3	PPI>	PDGFRB
TYK2	PPI>	STAT2
PIK3R2	PPI>	IRS1
SHC1	PPI>	ESR1
PIK3R1	PPI>	CSF2RA
EGFR	PPI>	CAMK2G
PTK2B	PPI>	FLT1
ESR1	PPI>	PIK3R3
IL2RB	PPI>	GRB2
EPOR	PPI>	PTPN11
YWHAG	PPI>	PAK1
PIK3R1	PPI>	ARAF
SYK	PPI>	SHC1
YWHAG	PPI>	SRC
FYN	PPI>	FLT1
JAK1	PPI>	ELP2
PIK3R2	PPI>	SYK
INSR	PPI>	CALM3
PDGFRB	PPI>	TYK2
PIK3R1	PPI>	PTPN6
PDPK1	PPI>	PAK1
YWHAG	PPI>	IGF1R
GAB1	PPI>	PDGFRB
SRC	PPI>	RAF1
FYN	PPI>	PRKCD
PTPN11	PPI>	GRB2
RET	PPI>	STAT3
PTK2B	PPI>	PTK2
EGFR	PPI>	PDGFRB
AKT2	PPI>	ESR1
KIT	PPI>	CSF2RB
PIK3R1	PPI>	PECAM1
GNB2L1	PPI>	RB1
YWHAB	PPI>	TSC2
GRB2	PPI>	KDR
PDGFRB	PPI>	STAT1
YWHAG	PPI>	PRKCB
GRB10	PPI>	EGFR
PTPN11	PPI>	JAK2
SHC1	PPI>	ERBB2
EGFR	PPI>	CTNNB1
TYK2	PPI>	EIF2AK2
PDGFRB	PPI>	RAF1
PTK2	PPI>	LCK
GRB2	PPI>	FLT1
IFNAR1	PPI>	TYK2
EPOR	PPI>	JAK2
JAK1	PPI>	PTPN11
IGF1R	PPI>	PIK3R1
BCAR1	PPI>	LCK
TEC	PPI>	BMX
PIK3CA	PPI>	APPL1
CRKL	PPI>	SOS1
MAPK1	PPI>	DUSP3
MET	PPI>	SRC
GRB2	PPI>	PAK1
CBL	PPI>	STAT5A
PTK2	PPI>	SYK
PIK3R3	PPI>	AXL
YWHAG	PPI>	AKAP13
MAP2K1	PPI>	EGFR
SRC	PPI>	BMX
SHC1	PPI>	JAK2
SHC1	PPI>	PIK3R1
ABL1	PPI>	PTPN6
TSHR	PPI>	JAK2
JAK1	PPI>	IL2RG
STAT3	PPI>	STAT5B
PIK3R2	PPI>	HCK
PDGFRA	PPI>	STAT3
MAPK1	PPI>	LCK
PIK3R1	PPI>	IFNAR1
PRKCD	PPI>	MAPK3
IFNGR1	PPI>	STAT1
MET	PPI>	BAG1
JAK2	PPI>	IFNGR1
AKT1	PPI>	SRC
AXL	PPI>	PIK3R1
PIK3R1	PPI>	AKT1
CRK	PPI>	GRB2
PRKCD	PPI>	PTPN6
YWHAB	PPI>	RPS6KA1
SOS1	PPI>	ESR1
PIK3R1	PPI>	JAK3
PTPN11	PPI>	SRC
PIK3R1	PPI>	TUBG1
PIK3R1	PPI>	IL2RB
PIK3R3	PPI>	INSR
GAB2	PPI>	MAPK3
ESR1	PPI>	STAT5A
HCK	PPI>	ABL1
MAP2K1	PPI>	PEBP1
KHDRBS1	PPI>	MAPK1
PTPN6	PPI>	CTNNB1
YWHAQ	PPI>	MDM4
RET	PPI>	SHC1
PRKCZ	PPI>	SRC
YWHAB	PPI>	AKAP13
RASA1	PPI>	PDGFRB
SRC	PPI>	GRB2
IL7R	PPI>	JAK1
YWHAB	PPI>	PRKCD
IFNAR1	PPI>	STAT3
GAB1	PPI>	PTPN11
IRS2	PPI>	UBTF
FYN	PPI>	GNB2L1
AXL	PPI>	PTPN11
LCK	PPI>	IL2RB
PIK3CA	PPI>	RPS6KB1
PDGFRB	PPI>	EIF2AK2
PDGFRB	PPI>	PTPN11
EGFR	PPI>	PRKCD
PTPN6	PPI>	SHC1
RAF1	PPI>	SRC
PIK3R3	PPI>	IRS1
GRB2	PPI>	FYN
PIK3R1	PPI>	CRK
GHR	PPI>	STAT3
PRKCZ	PPI>	JAK1
SHC1	PPI>	IL2RG
SRC	PPI>	DGKZ
ABL1	PPI>	RB1
CBL	PPI>	SYK
GRB10	PPI>	FYN
PIK3R1	PPI>	GRB2
STAT3	PPI>	PTPN11
MAPK1	PPI>	RB1
STAT3	PPI>	EIF2AK2
PDGFRB	PPI>	FYN
PTK2B	PPI>	JAK1
RAF1	PPI>	BAG1
GAB1	PPI>	MAPK1
MAPK1	PPI>	RPS6KA1
SOCS1	PPI>	PDGFRB
AXL	PPI>	GRB2
IFNAR1	PPI>	PTPN11
RB1	PPI>	GNB2L1
PTK2	PPI>	SRC
ABL1	PPI>	BCAR1
PRKCZ	PPI>	FYN
GRB2	PPI>	ESR1
MST1R	PPI>	SRC
PTK2B	PPI>	BCAR1
TGFBR1	PPI>	CTNNB1
KIT	PPI>	STAT5A
SHC1	PPI>	PTPN11
BRAF	PPI>	MAPK1
CD5	PPI>	PRKCB
PIK3R1	PPI>	PTK2B
MAPK3	PPI>	STAT5A
ERBB2	PPI>	PTPN11
JAK1	PPI>	IFNGR1
GTF2H1	PPI>	ESR1
SOS1	PPI>	GRB2
LCK	PPI>	SYK
PTPN11	PPI>	PTK2
PRKCZ	PPI>	MAPK1
FES	PPI>	JAK1
GRB2	PPI>	PIK3R1
IRS1	PPI>	PTPN11
ERBB2	PPI>	JAK2
JAK1	PPI>	GRB2
AKAP13	PPI>	ESR1
CBL	PPI>	SRC
PDGFRA	PPI>	STAT5B
PTPN11	PPI>	FLT1
AKT1	PPI>	RAF1
FYN	PPI>	CSF2RB
PIK3R1	PPI>	TSHR
SOCS1	PPI>	EGFR
SYK	PPI>	PIK3R1
MAPK1	PPI>	CAV1
SRC	PPI>	PTPN2
CD5	PPI>	FYN
NTRK1	PPI>	MAPK3
PTK2	PPI>	FYN
SOS1	PPI>	ERBB2
RET	PPI>	GRB2
YWHAQ	PPI>	TSC2
PIK3R1	PPI>	RET
TEK	PPI>	PTPN11
IL2RB	PPI>	RAF1
ESR1	PPI>	EGFR
CALM1	PPI>	ESR1
YWHAB	PPI>	SRC
BCAR1	PPI>	ESR1
GAB1	PPI>	GRB2
PIK3R1	PPI>	JAK2
PIK3R1	PPI>	RRAS2
PAK1	PPI>	MAPK1
EGFR	PPI>	JAK2
IRS1	PPI>	JAK2
INSR	PPI>	IGF1R
GRB2	PPI>	EGFR
EGFR	PPI>	PIK3R1
EGFR	PPI>	PAK1
IL7R	PPI>	IL2RG
DUSP3	PPI>	STAT1
PIK3R1	PPI>	AXL
IGF1R	PPI>	PIK3R3
CBL	PPI>	LCK
MAP2K1	PPI>	PRKCZ
STAT3	PPI>	GNB2L1
IRS2	PPI>	IGF1R
MAPK3	PPI>	TSC2
CDH2	PPI>	CTNNB1
SRC	PPI>	KIT
INSR	PPI>	PIK3R3
KHDRBS1	PPI>	FYN
PIK3R1	PPI>	CD40
SOS1	PPI>	MAPK1
PAK1	PPI>	BMX
MAPK3	PPI>	RPS6KA1
IFNAR1	PPI>	IFNAR2
FYN	PPI>	PDGFRB
IL2RB	PPI>	GNB2L1
SOCS1	PPI>	JAK1
FYN	PPI>	SOS1
PTPN11	PPI>	ERBB2
PAK1	PPI>	ERBB2
CRK	PPI>	IGF1R
YWHAB	PPI>	RGS3
CRK	PPI>	KIT
GAB2	PPI>	PTPN6
PIK3R1	PPI>	KHDRBS1
PECAM1	PPI>	PTPN11
PDGFRB	PPI>	GRB2
TGFBR1	PPI>	CAV1
IRS2	PPI>	PTPN6
GAB2	PPI>	AKT1
PTK2B	PPI>	EGFR
FYN	PPI>	RAF1
PRKCD	PPI>	MAPK1
PIK3R1	PPI>	KIT
AXL	PPI>	PIK3R3
CBL	PPI>	PIK3R1
MAPK1	PPI>	SOS1
GNB2L1	PPI>	STAT1
CTLA4	PPI>	PTPN11
MAPK3	PPI>	SYK
RET	PPI>	PTPN11
IL2RB	PPI>	STAT5B
GAB2	PPI>	PTPN11
LCK	PPI>	CSF2RB
SHB	PPI>	KDR
RAF1	PPI>	PAK1
MAPK1	PPI>	PTPN1
GAB2	PPI>	MAPK1
EGFR	PPI>	SRC
SYK	PPI>	LCK
STAT5A	PPI>	ESR1
PAK1	PPI>	GRB2
AXL	PPI>	IL2RG
